file,cats
736891241.txt,0-;3+;5+;8-
808752059.txt,0-;2+;4+;8-
764575520.txt,
760372592.txt,
739680775.txt,1+;3+;4+
799862984.txt,
745616642.txt,3+
758384231.txt,
797757110.txt,
784249036.txt,1-;3+
759199481.txt,3+
775580899.txt,3+
806714684.txt,3+
772580619.txt,
759471309.txt,
768122440.txt,3+
788462895.txt,
805709554.txt,3+
774397677.txt,
766162655.txt,
731500130.txt,6+;8+
764820461.txt,0+;3+;4+
737165161.txt,
761174913.txt,3+
781555886.txt,0+
806817385.txt,
789554835.txt,5+
800394922.txt,
794910688.txt,0-;3+;4+;8+
804249695.txt,
762918891.txt,1+
805862672.txt,3-;6+;7+;8-
792898969.txt,0-;3+
743408561.txt,3+
774825979.txt,3+
785150634.txt,
744646363.txt,2+;7+
766057982.txt,
787177433.txt,3+
760088505.txt,0-;1+;4+;8-
765552350.txt,
740732459.txt,4+
775431506.txt,
753458933.txt,3+;4+;8-
757613919.txt,3+
774106248.txt,3+
808646257.txt,0+;3+;4+;6+;8-
766402143.txt,
757079623.txt,
774368313.txt,5+
750813579.txt,6+;8+
759534722.txt,
765832818.txt,3+
795481592.txt,1+
770009739.txt,
791301358.txt,2+
767561524.txt,
768462694.txt,1+;3+;4+
806326776.txt,
748529219.txt,
746725123.txt,2+
765526003.txt,
775436693.txt,
773690438.txt,
788206958.txt,
763149783.txt,
792854569.txt,3+
752936156.txt,0-
750462085.txt,3+
749100423.txt,2+;4+
788845123.txt,0+;3+;4+
770052462.txt,8+
802618563.txt,4+;8+
790319950.txt,0-;4+
789526132.txt,0+;1+;3+;5-;8-
798428892.txt,1+;3-
799164549.txt,
807901785.txt,
799727617.txt,7+
781757804.txt,
760106113.txt,
780009601.txt,2+;3+;4+;5+;7+
796537771.txt,3+
787097717.txt,
773690004.txt,
792514463.txt,
767399406.txt,
792195407.txt,
787773755.txt,0-;2+;3+;4+;5+;8-
785462502.txt,
774103094.txt,0-;1+;3+;4+;8-
795368620.txt,
791981370.txt,
770315347.txt,
783432737.txt,3+
761833207.txt,3+
807011514.txt,
792497810.txt,4+
774398999.txt,
786584924.txt,
804079663.txt,1+;3+;4+
793716912.txt,0-;3+;4+
767455478.txt,7+
780112022.txt,
785535711.txt,1+;3+;4+
778439607.txt,
740739093.txt,3+
778176640.txt,3+
792945918.txt,
759200223.txt,3+
787128864.txt,3+
737354248.txt,3+
778444822.txt,
776122218.txt,
744646173.txt,
784558173.txt,0-;1+;3+;4-;8-
743395812.txt,1+;3+
784087902.txt,0-;3+
737403598.txt,0-;1+;3-;4+;8-
783283372.txt,
778322452.txt,3+
743975503.txt,
795487640.txt,
777538764.txt,0-;1-;2+;4+;8-
780906206.txt,3+
807206789.txt,3+
808332524.txt,
775784504.txt,
771381354.txt,0-;1+;3+
745287784.txt,
806734342.txt,
771935786.txt,
783533984.txt,3+;4+
792552391.txt,0-;1+
737137554.txt,
788591931.txt,1+;4+
797804394.txt,8+
790081209.txt,3+
772789871.txt,
790477797.txt,
786255921.txt,
780592818.txt,
733146464.txt,0+;1+
772627817.txt,1+;3+
781908944.txt,
786570547.txt,3+
797850588.txt,
741001340.txt,0-;1+;3+;4+;8-
779362067.txt,
762905646.txt,3+
782721910.txt,1+
755926552.txt,3+;4+
783668793.txt,
743077691.txt,0-;1+;3+;4+
810263817.txt,3+
768952631.txt,1+;3+;6+;8-
797936590.txt,0-;1+;3+;4+;8-
751756946.txt,1+;3-
781291155.txt,
773262160.txt,
742149536.txt,3+
772405076.txt,3+
784215689.txt,2+;4+
786599291.txt,3+
774425564.txt,
800295322.txt,
803833883.txt,3+
763619358.txt,3+
788700012.txt,3-;5+
768863200.txt,
796495411.txt,
756890164.txt,3+
747111223.txt,
789081865.txt,3+
790072656.txt,
771858877.txt,3+
792652173.txt,3+
808349079.txt,
784517365.txt,0-;1+;4+;6+;8-
768652405.txt,
785014573.txt,3+;4-
784173158.txt,7+
799239327.txt,
747268438.txt,3+
810379079.txt,
785520233.txt,3+
778428802.txt,4+
764746606.txt,
788851726.txt,
807278031.txt,1+
746969785.txt,0-;2+;4+;6+;8-
757529069.txt,
806181261.txt,0+;3+;4+;8-
806375359.txt,3+
745607869.txt,0-;1+;3+;4+;8-
788240577.txt,
789138761.txt,3+
742048399.txt,8+
787993036.txt,3+;4+
798252255.txt,
767581897.txt,3+
760896721.txt,3+
761972177.txt,3+;4-
779163472.txt,3+
806817050.txt,
792620731.txt,4+
798770175.txt,
781300060.txt,
784239759.txt,
763637313.txt,0+;3+;4+;8-
740272767.txt,
766417114.txt,
770318946.txt,
764714582.txt,
803401878.txt,3+
736583416.txt,3+
769431544.txt,
771506834.txt,
789495604.txt,0-;2+;3+;4-;5-;8-
764214588.txt,2+;7+
774725848.txt,
767785278.txt,
809540314.txt,
807762258.txt,2+;3+
740390453.txt,
793249073.txt,
764261711.txt,
756012656.txt,3+
796657472.txt,
809174656.txt,1+
808675348.txt,3+;4+;5+
804861619.txt,
758259342.txt,
796838056.txt,
770043253.txt,3+
776170271.txt,0-;1+
795364440.txt,0-;1+;3+;8-
736533459.txt,
741836418.txt,4+;5+
758433908.txt,3+;4+
743477688.txt,8+
792548154.txt,0-;3+;8-
754354189.txt,
805524785.txt,1+
751831523.txt,4+;8-
759540171.txt,3+
763816270.txt,
745869600.txt,
761711970.txt,
784912269.txt,
769710479.txt,1+;8-
751908215.txt,
809097900.txt,4+
774972073.txt,
809456170.txt,
782327200.txt,3+
792190668.txt,
756684323.txt,1+
799836548.txt,
764575924.txt,3+
808801763.txt,1+;3-;4+
746427070.txt,0-;3+;5-;8-
750608530.txt,1+
747827263.txt,3+
774716489.txt,0-;2+;3+;4+;7+;8-
784876881.txt,3+
780272040.txt,3+
760466897.txt,
773035331.txt,8+
771037388.txt,
748722203.txt,2-;3+;5-;8-
794216130.txt,3+
777530949.txt,
795842273.txt,3+
771669277.txt,
774936588.txt,
774594403.txt,4+
773802073.txt,3+
805276109.txt,1+;5+
786179414.txt,
766111404.txt,
806810132.txt,
772289752.txt,3+
795502618.txt,4+
743440163.txt,8+
746008268.txt,3+
803522881.txt,3+
738439010.txt,
807099268.txt,
787568405.txt,0-;2-;3+;4+;5-;8-
773305871.txt,3+
756915403.txt,0-;2+;3-;8-
733717190.txt,8+
767398985.txt,
772587479.txt,3+
753219976.txt,4+
807117914.txt,4+;8+
793555235.txt,
804694441.txt,3+
743377810.txt,3+
802770850.txt,
778362350.txt,
770030267.txt,3+
743798607.txt,3+
793756380.txt,3+
798710716.txt,3+
762378854.txt,
805851429.txt,0-;2+;3+;4+;8-
748383765.txt,3+
771665704.txt,8+
761163553.txt,
772798333.txt,0-;1+;3+;4+;8-
807917210.txt,0-;3+;4+;7+;8-
797932716.txt,0-;1+;2-;3+;4+;5-;8-
759854346.txt,
809868183.txt,
805546456.txt,3+
810340223.txt,
757930998.txt,2-;3+
779366791.txt,3+
791431691.txt,0+;1+;2+;3+;4+;7+;8-
742417265.txt,
765869522.txt,1+;3-;8-
797900373.txt,
801139009.txt,
801408037.txt,
773303630.txt,3+
803228935.txt,1+
792219821.txt,4+
758102057.txt,
797095258.txt,
786467222.txt,7+
784188480.txt,3+
748314187.txt,
807554203.txt,
796213743.txt,
755319546.txt,
787997512.txt,
788600800.txt,0-;1+;3+;4+;8-
773265167.txt,
799671199.txt,0+;1+;5-;6+;7+;8+
790999084.txt,
799957786.txt,4+
770304397.txt,
787148122.txt,1+;3+;4+
767825152.txt,
796341833.txt,3+
745040618.txt,2+;4+
785028093.txt,
772397421.txt,
794781451.txt,3+;4+
759145397.txt,
780122002.txt,3+
750712574.txt,1+;4+
766141785.txt,
745304800.txt,
809841927.txt,0-;1+;3+;4+;8-
774400924.txt,3+;4+
798792289.txt,0+;1+;3+;5-
741980818.txt,1+;3-
772258641.txt,
795892485.txt,
781781143.txt,4+
749543178.txt,8+
770689086.txt,1+;3+
792166256.txt,3+;4+;5-
796974281.txt,3+;7+
759204936.txt,0+;1+
736158512.txt,3+
759869703.txt,
776688878.txt,1+
800052123.txt,3+
760113868.txt,0-;1+;3+;4+;8-
769589728.txt,3+;8+
746314857.txt,4+
784369502.txt,3+
809475704.txt,0-;1+;3+;4+;8-
801388540.txt,3+
784235526.txt,
787562188.txt,0-;2+;3+;4+;5+;8-
792632566.txt,
781876605.txt,
792216784.txt,
793239466.txt,
768081446.txt,5+;8+
793225098.txt,
805827455.txt,3+;4+
785970350.txt,
800401410.txt,
788212310.txt,
763815273.txt,0-;3+;4+
772780454.txt,3+
774592414.txt,
733240062.txt,3+
788431960.txt,3+
735259867.txt,1+;3+
773800599.txt,0+
778181004.txt,
807901570.txt,0-;1+;3+;4-;8-
749513878.txt,3+
774873895.txt,3+
804590207.txt,
794268713.txt,
758068161.txt,
807385840.txt,
803558802.txt,7+
758249473.txt,
787548561.txt,2+
788484936.txt,3+
760931709.txt,
793531302.txt,
785283019.txt,3+
801416124.txt,
793802209.txt,
791431427.txt,0-;1+
766313382.txt,
769712411.txt,0+;1+;4+;8-
790215420.txt,
794489199.txt,0-;1+;3+;4+;8-
807079539.txt,3+
787608088.txt,
789315972.txt,0-;1-;3+;4-;5+;8-
768707655.txt,3+
791726326.txt,3+
781333163.txt,0-;1+
757619790.txt,3+
750648578.txt,3+
751922907.txt,3+
789476720.txt,3+;6+;7+
763599638.txt,
799731087.txt,1+
791857105.txt,3-;8+
773527025.txt,
737358691.txt,0-;3-;4+;8-
760082024.txt,
740068272.txt,
807064593.txt,3+
802884216.txt,0-;3+;4-;8-
800380030.txt,
735631685.txt,
750140586.txt,
762028273.txt,
743227477.txt,
772764139.txt,
781500650.txt,
792003519.txt,0-;1+;4+;8-
806160581.txt,3+
780115142.txt,3+
785909246.txt,1+;3+
796147109.txt,3-;4+
760890459.txt,0+;2-;3+;8-
772759694.txt,3+
738280330.txt,3+
766412201.txt,1+;4+;5-;8-
767095071.txt,
758777801.txt,0+;2-;3+
779200328.txt,
747978493.txt,0+;3+;4+;8-
792926522.txt,
785505430.txt,
806158829.txt,
779994158.txt,0-;2+;4+;8-
773069141.txt,
783677838.txt,3+
767800789.txt,8+
771625190.txt,3+
807902862.txt,
747363267.txt,
737173295.txt,
809377198.txt,
782642610.txt,3+
801494322.txt,3+
799553900.txt,
750636852.txt,
759831746.txt,3+;4+
781689226.txt,
809552142.txt,
778039571.txt,
801865545.txt,
759147290.txt,
769712211.txt,0-;2+;3+;4-;8-
791634456.txt,
786602259.txt,
733948028.txt,
805062955.txt,3+
778829097.txt,1+;3-;4+;8-
755069496.txt,
755625148.txt,
797049805.txt,0-;3-;4+
802823450.txt,1+;3+
752734021.txt,
786595594.txt,
808856066.txt,3+;4+
776314273.txt,1+;4+
771056705.txt,2+;3+
776634383.txt,1+;4+
771306613.txt,3+
799971248.txt,7+;8+
804889276.txt,3+
747522871.txt,3+
765473410.txt,0-
750291426.txt,1+;3+
801707059.txt,3+
789871032.txt,3+
777342903.txt,0+;1-;4-;6+;7+;8+
744384177.txt,
807673683.txt,3+
794116929.txt,3+
740685781.txt,2+;3-;4+;5+;7+;8-
733851824.txt,0-;1+;3+;8-
762876755.txt,0-;1+;3+;4+;8-
765433633.txt,8+
799230216.txt,
781798455.txt,1+;3+
798253315.txt,
772783550.txt,1+
787215185.txt,0+;1+;3+;4+;7+
774112571.txt,
744400818.txt,
810001709.txt,4+
793739667.txt,
760445543.txt,1+;4+
757597686.txt,
807035511.txt,
783691154.txt,3+;4+
738562450.txt,
743104347.txt,3-
783902696.txt,3+;4+
752782174.txt,
740918130.txt,7+
764486348.txt,3+;4+
746101754.txt,
792511495.txt,3-;5+
763571798.txt,
798791935.txt,0-;3-;5+
804589575.txt,
805820047.txt,3+
807669800.txt,
765120685.txt,3+
751582927.txt,
788261257.txt,0-
758403701.txt,0-;1+;3+;5+
800089506.txt,4+
774399328.txt,2+
739891682.txt,
787500897.txt,3+
800762475.txt,7+;8+
774500395.txt,8+
774369346.txt,3+
792004130.txt,0-
775546566.txt,
741970403.txt,
795077196.txt,4+
793255968.txt,3+
751324575.txt,1+;3+;4-
803323215.txt,1+
771959892.txt,3+
797093904.txt,
807532339.txt,1+;4+
764091834.txt,1+;3-;4+
754222123.txt,
752114943.txt,3-
777214028.txt,3+
770229468.txt,3+
808238976.txt,
809684951.txt,
758340498.txt,3+
798751532.txt,4-
787738972.txt,3+
739367700.txt,
749876286.txt,0-;1+;3-;4+;8-
769300577.txt,2+;3+;4-;6+;8-
763409960.txt,
804471433.txt,
797954952.txt,
770248877.txt,3+;5+
737173854.txt,
742931652.txt,3-;4-;7+
766015209.txt,7+;8+
794922400.txt,0-;1+;4+;8-
810074621.txt,
781881492.txt,
809165465.txt,5+
807051536.txt,
787996466.txt,
764129772.txt,8+
786273893.txt,0-;3+;4+;8-
796204726.txt,4+
773357630.txt,1+
805863178.txt,0-
738260152.txt,3+
747862577.txt,3+
808153162.txt,
787330116.txt,3+
744611374.txt,
779069700.txt,
756355936.txt,3+
793669647.txt,0-;4+
785522332.txt,
783237007.txt,3+
793119702.txt,
792003498.txt,3+;6+;7+
809712312.txt,1+
778121280.txt,3+;5+
776713710.txt,0+;1+;3+;4+;5+
799553114.txt,0-;1+;3+;4+;5+;8-
767835403.txt,3+;5-
791686895.txt,0-;3+
765536477.txt,3+
779509674.txt,0-
789928078.txt,3+
788729330.txt,
772061840.txt,
778438541.txt,0-;3+
769521976.txt,2-;3+;4+;8-
751911635.txt,3+
769432665.txt,
810227106.txt,3+
738987380.txt,
768204299.txt,0-;3-;4-;8-
804821574.txt,3+
744349600.txt,0+;3+;4+
810294441.txt,
769974520.txt,3+;4+;5+
796839039.txt,
756897795.txt,
747147878.txt,
798808985.txt,1+;4+
785451621.txt,
761015424.txt,0+;3+
791234143.txt,3+
786296105.txt,
741976364.txt,3+
807005672.txt,8+
763864147.txt,0-;3+;4+
764435083.txt,3+
757773518.txt,
766044747.txt,2+;3+;5+;8-
760129816.txt,
789432866.txt,3+;4+
800070076.txt,0-;1+;4+;8-
774986043.txt,
808625803.txt,
751824672.txt,0-;8-
793456279.txt,3+
794393497.txt,3+
789928906.txt,
761129724.txt,3+
803244439.txt,3+
800482201.txt,0-;7+
767394024.txt,3+;4-
774405462.txt,8+
801143420.txt,3+
775224051.txt,3+
751804158.txt,
770298011.txt,3+
807678947.txt,0-;3+
797942993.txt,3-
784212866.txt,1+
804234583.txt,5-
757570323.txt,3+
742111788.txt,2+;4+
790171835.txt,3+
787538370.txt,3+
777138657.txt,3+
760819372.txt,
793755911.txt,
737304386.txt,
781845103.txt,
805392451.txt,3+
755319823.txt,3+
808758190.txt,3+
804883851.txt,3+
781146880.txt,3+
778447218.txt,
798783370.txt,
803309138.txt,
735380774.txt,
807226405.txt,0-;3+;4+
746102945.txt,6+
765161898.txt,1+;3+
807523901.txt,1+;3+
736156397.txt,
792102137.txt,3+
748470134.txt,
807506997.txt,3+
808490194.txt,
759209648.txt,6+;7+
800769552.txt,1+
778099816.txt,0-;3+;8-
786295230.txt,3+
808659270.txt,1+
740188110.txt,0+;3+;4+;6+;7+;8-
801700381.txt,1+;2+;3+
757572860.txt,
779539029.txt,1+
776747492.txt,3+
763641282.txt,1+
738765679.txt,
791427599.txt,
789032840.txt,0-
803330382.txt,
802855793.txt,
808263523.txt,
770756573.txt,3+
745617857.txt,5+;7+
801659194.txt,1+;8+
802606856.txt,0-;1+;3+;4+;5-;8-
758359142.txt,3+
769742101.txt,3+;8+
798541061.txt,
768656513.txt,
755308332.txt,
758470760.txt,
802370908.txt,
778178745.txt,3+
792650830.txt,4+
754328321.txt,1+
807970290.txt,3+
774710173.txt,
784843635.txt,3+
760506408.txt,1+
748985499.txt,3-
803872592.txt,
786647372.txt,0-;2+;3+
795211204.txt,
783422373.txt,0-
784448131.txt,3+
802951923.txt,0-
779318517.txt,3+
766415536.txt,3+;4+
799227852.txt,
780552703.txt,
799734549.txt,
796984016.txt,3+
739651799.txt,
778872157.txt,
746331861.txt,3+
761655910.txt,3+
803181476.txt,
773640467.txt,
807743058.txt,0-;3-
779663540.txt,
765147676.txt,
734538232.txt,5+;6+
783248092.txt,
748265962.txt,4+
809798905.txt,0-;1-;3+;4-;8-
788814311.txt,
760468691.txt,3+
809041556.txt,3+;5-
764820740.txt,
801436337.txt,3+
779192697.txt,
767582012.txt,0+;2+;3+;4-;8-
773723089.txt,0+;2-;3+
770748344.txt,3+;5+
768219808.txt,0-;3+;4+;8-
786902220.txt,
787190201.txt,
804998892.txt,3+
743873903.txt,
803464949.txt,
806773886.txt,
799225934.txt,5+
781230154.txt,3+
769599375.txt,3+
777066910.txt,
802840385.txt,3+
740380116.txt,3+;4+
795908231.txt,
741691853.txt,7+
804884459.txt,1+;3+;4+
792925847.txt,5+;7+
732757258.txt,1+;3+
801003583.txt,4-
780116161.txt,
760124280.txt,
740685930.txt,7+
774074702.txt,8+
795166220.txt,
800131585.txt,
808531150.txt,0-;3+;8-
803454109.txt,2+
757283370.txt,0-;3+;4+
759868911.txt,4-
804638999.txt,0-
736116422.txt,
778418311.txt,3+
801515066.txt,0-
743248373.txt,
807251242.txt,3+
770986792.txt,1+;3+;5+
807040283.txt,
773067093.txt,
763831941.txt,0-;3+;8-
796571835.txt,
770306608.txt,
742778018.txt,
804252145.txt,
788561062.txt,
794925500.txt,
761860146.txt,0-;1+;7+;8-
759526177.txt,4+;5+
767644767.txt,
779802577.txt,
773164564.txt,
784505432.txt,
776962837.txt,0-
749715408.txt,
760454967.txt,3+
792555252.txt,3+
745252932.txt,
761820198.txt,0-;2-;3+;8-
744647577.txt,0+;1+;3+;4+
801283510.txt,
797092913.txt,3+;4+
761865639.txt,
781629351.txt,3+
785501812.txt,3+
763627683.txt,3+
808651431.txt,0+;8-
738706857.txt,3+
796908411.txt,3+
760047867.txt,3+
774721198.txt,
810337245.txt,8+
802377302.txt,
746497426.txt,
747582464.txt,
757204191.txt,0-;1+;3-;4+
799447283.txt,
749952364.txt,4+
776572705.txt,3+
783096752.txt,
747006626.txt,3+
771913272.txt,3+
750465591.txt,
799067617.txt,3+
806070526.txt,
779378379.txt,3-
775658821.txt,
749789178.txt,3+
779846685.txt,
791245761.txt,3+
788602812.txt,1+;3+;4+
741680839.txt,
793370558.txt,3+
769905061.txt,0-;1+;3+
784561202.txt,3+
761327218.txt,
786949731.txt,0-;3+
773970082.txt,
758157796.txt,
762506551.txt,
750955678.txt,3+
748893501.txt,3+
744644768.txt,0+;2+;3+;4-
745043798.txt,
777168801.txt,
785510372.txt,3+
766153640.txt,
760001061.txt,3+
762374559.txt,3+
779535722.txt,8+
760853159.txt,0-;2-;3+;4+;5+;7+;8-
774722554.txt,
790644075.txt,3+
786892096.txt,0-;3-;4-
779726042.txt,3-;4-
772979577.txt,0-;5+
781592320.txt,
807379804.txt,0-;1+
776481365.txt,0+;5+
793263634.txt,3+
771584709.txt,3+
777514080.txt,
768946607.txt,4+
779536982.txt,0-
780700935.txt,8+
785510207.txt,1+;3-
772294359.txt,7+
773048821.txt,3-;5+
763153128.txt,
775547855.txt,3+
757625736.txt,3+
791373499.txt,0-;4+
785136790.txt,3+;4+
803301641.txt,3+
762087085.txt,0-;3+
779847528.txt,3+
765120302.txt,
789913681.txt,0-
796521731.txt,2+;6+
731417863.txt,
774983227.txt,
789410098.txt,
741720584.txt,0-;2-;3-;5-;8-
761069949.txt,
762505649.txt,
796143815.txt,
797587751.txt,0-
772000150.txt,0-
809885875.txt,4+
778121927.txt,3+
739315761.txt,0+;3+;4+;5+;8-
800152521.txt,
759796082.txt,
765274498.txt,0+;1+;3+;4-;8-
806433703.txt,1+;4+;6+;7+;8-
767661382.txt,
781149887.txt,
783114447.txt,
771955131.txt,0-;5-
792009800.txt,
790084385.txt,5-
754915550.txt,
756064345.txt,0+;3+
809123374.txt,0+;1+;3+;4+;5+;8-
805683879.txt,8+
759858241.txt,3+
751653107.txt,
810111879.txt,0+;3+;4+;8-
786316542.txt,0+;1+;3+;4+
765569057.txt,
738886233.txt,0-;3+
801289894.txt,
786070871.txt,1+;3+;4+
805587668.txt,0-;1+;3+;4+
752542044.txt,1+;3+
792231936.txt,
768413276.txt,
756639422.txt,0+;4+;8-
776431891.txt,1+
768217505.txt,0-;3+;4+;6+;8-
761144411.txt,
763150553.txt,0-;3+;4-;7+;8-
777139297.txt,
776220133.txt,3+
808181166.txt,1+
779460108.txt,
803465373.txt,
747025895.txt,4+;7+
752442683.txt,
760451275.txt,3+
807889931.txt,8+
743877725.txt,0+;3+;4+
784180725.txt,
760700294.txt,3+
772916349.txt,
745731193.txt,
766152229.txt,3+;4-;6+;8-
809435325.txt,1+;4-
773227876.txt,3+
755308364.txt,
768511885.txt,0-;3+;4-
804783039.txt,3+;5-
807820195.txt,
787631009.txt,
763130703.txt,
785486102.txt,3-
786193243.txt,
807305276.txt,3+
799959442.txt,
799956765.txt,
759061257.txt,3+
785520262.txt,
793808078.txt,3-
802574383.txt,
754712195.txt,
766415237.txt,5+
743322875.txt,0-;3+;4+;8-
788860192.txt,
751211512.txt,3+;4+
791253541.txt,
767490455.txt,
773340017.txt,
801415744.txt,
758383166.txt,
799543713.txt,
752658294.txt,
804204838.txt,
740388053.txt,
786601563.txt,
766696203.txt,
784746044.txt,
775343281.txt,
736043112.txt,
803388522.txt,
760063029.txt,
803792772.txt,
791697939.txt,
785193669.txt,
790140308.txt,
751205637.txt,
801400014.txt,
753614411.txt,
798755234.txt,
801287693.txt,
791861256.txt,
790846265.txt,
804887107.txt,
792952468.txt,
793521332.txt,
784842176.txt,
810379782.txt,
784994478.txt,
743438102.txt,
774555390.txt,
756797935.txt,
804394746.txt,
806325284.txt,
765559162.txt,
800111571.txt,
785202047.txt,
753612272.txt,
757146164.txt,
785081453.txt,
779037737.txt,
795113388.txt,
791447032.txt,
806176049.txt,
762303695.txt,
740093223.txt,
758027057.txt,
747451695.txt,
767748242.txt,
806436329.txt,
792723472.txt,
797956028.txt,
803413415.txt,
801344152.txt,
742100637.txt,
796251849.txt,
740092672.txt,
801962155.txt,
752477817.txt,
733729248.txt,
779834815.txt,
785133865.txt,
784985110.txt,
804236625.txt,
801492264.txt,
806439120.txt,
801391906.txt,
760905406.txt,
809059072.txt,
788557051.txt,
756098193.txt,
806381191.txt,
802355838.txt,
762829622.txt,
795211542.txt,
778346945.txt,
777868351.txt,
752351379.txt,
777496410.txt,
755980427.txt,
788513188.txt,
807906329.txt,
749138082.txt,
771014191.txt,
752139653.txt,
748974293.txt,
780780436.txt,
773516269.txt,
776084322.txt,
801017676.txt,
805852909.txt,
782346559.txt,
804851456.txt,
770029528.txt,
802653298.txt,
751462085.txt,
806823134.txt,
764820574.txt,
803560262.txt,
740191454.txt,
802323995.txt,
802761004.txt,
767214153.txt,
789846412.txt,
768177753.txt,
793527719.txt,
774985176.txt,
778868061.txt,
795018916.txt,
791999165.txt,
775436959.txt,
788580137.txt,
773690676.txt,
806435938.txt,
756795978.txt,
771942593.txt,
790155166.txt,
787023167.txt,
777848669.txt,
767587210.txt,
771378619.txt,
786537378.txt,
806009631.txt,
797757813.txt,
801706503.txt,
802317424.txt,
807398087.txt,
755993525.txt,
804871404.txt,
776337991.txt,
735151429.txt,
734524196.txt,
771644051.txt,
779188036.txt,
781887660.txt,
804571729.txt,
795311167.txt,
746999247.txt,
766812389.txt,
747110644.txt,
790467728.txt,
751299500.txt,
795219277.txt,
802530176.txt,
801963420.txt,
779787809.txt,
744335924.txt,
763152646.txt,
765227689.txt,
786824812.txt,
808021956.txt,
753866556.txt,
793613971.txt,
781482972.txt,
793541241.txt,
780415076.txt,
802583742.txt,
779852355.txt,
770707284.txt,
802297357.txt,
796164176.txt,
794452738.txt,
762218752.txt,
793806790.txt,
743420903.txt,
760120383.txt,
808911168.txt,
773798343.txt,
781885649.txt,
805902659.txt,
783330887.txt,
754048317.txt,
796167723.txt,
769426392.txt,
795085963.txt,
758430172.txt,
775562053.txt,
768679936.txt,
761711159.txt,
790405380.txt,
785529386.txt,
794922682.txt,
794555524.txt,
801572799.txt,
802295190.txt,
750966202.txt,
756915176.txt,
809154461.txt,
794094103.txt,
801937159.txt,
789297224.txt,
756867815.txt,
781752397.txt,
741818398.txt,
737696709.txt,
799720211.txt,
791304558.txt,
783107212.txt,
807845046.txt,
738003695.txt,
809755280.txt,
797023367.txt,
793420191.txt,
804615699.txt,
787186825.txt,
740997595.txt,
785280505.txt,
760888789.txt,
795465184.txt,
802873328.txt,
780293198.txt,
795920520.txt,
764717378.txt,
795372477.txt,
801110991.txt,
798576529.txt,
801334055.txt,
801351815.txt,
765672226.txt,
752552108.txt,
803224567.txt,
739891880.txt,
785501279.txt,
749879426.txt,
742667198.txt,
798193434.txt,
773803686.txt,
750608997.txt,
791617267.txt,
778158832.txt,
773132033.txt,
799773100.txt,
742330961.txt,
755313418.txt,
756914787.txt,
772377749.txt,
795456827.txt,
778709239.txt,
