file,cats
762905646.txt,3
782721910.txt,9
755926552.txt,3;4
783668793.txt,9
743077691.txt,1;3;4
810263817.txt,3
768952631.txt,1;3;6
797936590.txt,3;4
751756946.txt,9
781291155.txt,9
773262160.txt,9
742149536.txt,3
772405076.txt,3
784215689.txt,4
786599291.txt,3
774425564.txt,9
800295322.txt,9
803833883.txt,3
763619358.txt,3
788700012.txt,5
768863200.txt,9
796495411.txt,9
756890164.txt,3
747111223.txt,9
789081865.txt,3
790072656.txt,9
771858877.txt,3
792652173.txt,3
808349079.txt,9
784517365.txt,4;6
768652405.txt,9
785014573.txt,3
784173158.txt,7
799239327.txt,9
747268438.txt,3
810379079.txt,9
785520233.txt,3
778428802.txt,4
764746606.txt,9
788851726.txt,9
807278031.txt,1
746969785.txt,2;4
757529069.txt,9
806181261.txt,0;3;4
806375359.txt,3
745607869.txt,1;3;4
788240577.txt,9
789138761.txt,3
742048399.txt,8
787993036.txt,3;4
798252255.txt,9
767581897.txt,3
760896721.txt,3
761972177.txt,3
779163472.txt,3
806817050.txt,9
792620731.txt,4
798770175.txt,9
781300060.txt,9
784239759.txt,9
763637313.txt,0;3;4
740272767.txt,9
766417114.txt,9
770318946.txt,9
764714582.txt,9
803401878.txt,3
736583416.txt,3
769431544.txt,9
771506834.txt,9
789495604.txt,2;3
764214588.txt,2
774725848.txt,9
767785278.txt,9
809540314.txt,9
807762258.txt,2;3
740390453.txt,9
793249073.txt,9
764261711.txt,9
756012656.txt,3
796657472.txt,9
809174656.txt,1
808675348.txt,3;4;5
804861619.txt,9
758259342.txt,9
796838056.txt,9
770043253.txt,3
776170271.txt,1
795364440.txt,1;3
736533459.txt,9
741836418.txt,9
758433908.txt,3;4
743477688.txt,9
792548154.txt,3
754354189.txt,9
805524785.txt,9
751831523.txt,4
759540171.txt,3
763816270.txt,9
745869600.txt,9
761711970.txt,9
784912269.txt,9
769710479.txt,1
751908215.txt,9
809097900.txt,4
774972073.txt,9
809456170.txt,9
782327200.txt,3
792190668.txt,9
756684323.txt,9
799836548.txt,9
764575924.txt,3
808801763.txt,1;4
746427070.txt,3
750608530.txt,1
747827263.txt,3
774716489.txt,2;3;4;7
784876881.txt,3
780272040.txt,3
760466897.txt,9
773035331.txt,8
771037388.txt,9
748722203.txt,3
794216130.txt,3
777530949.txt,9
795842273.txt,3
771669277.txt,9
774936588.txt,9
774594403.txt,4
773802073.txt,3
805276109.txt,1;5
786179414.txt,9
766111404.txt,9
806810132.txt,9
772289752.txt,3
795502618.txt,4
743440163.txt,8
746008268.txt,3
803522881.txt,3
738439010.txt,9
807099268.txt,9
787568405.txt,3;4
773305871.txt,3
756915403.txt,2
733717190.txt,8
767398985.txt,9
772587479.txt,3
753219976.txt,4
807117914.txt,4;8
793555235.txt,9
804694441.txt,3
743377810.txt,3
802770850.txt,9
778362350.txt,9
770030267.txt,3
743798607.txt,3
793756380.txt,3
798710716.txt,3
762378854.txt,9
805851429.txt,2;3;4
748383765.txt,3
771665704.txt,8
761163553.txt,9
772798333.txt,3;4
807917210.txt,3;4
797932716.txt,3;4
759854346.txt,9
809868183.txt,9
805546456.txt,3
810340223.txt,9
757930998.txt,3
779366791.txt,3
791431691.txt,0;1;2;3;4;7
742417265.txt,9
765869522.txt,1
797900373.txt,9
801139009.txt,9
801408037.txt,9
773303630.txt,3
803228935.txt,1
792219821.txt,4
758102057.txt,9
797095258.txt,9
786467222.txt,7
784188480.txt,3
748314187.txt,9
807554203.txt,9
796213743.txt,9
755319546.txt,9
787997512.txt,9
788600800.txt,1;3;4
773265167.txt,9
799671199.txt,0;1;6;7;8
790999084.txt,9
799957786.txt,4
770304397.txt,9
787148122.txt,3;4
767825152.txt,9
796341833.txt,3
745040618.txt,2;4
785028093.txt,9
772397421.txt,9
794781451.txt,3;4
759145397.txt,9
780122002.txt,3
750712574.txt,4
766141785.txt,9
745304800.txt,9
809841927.txt,3;4
774400924.txt,3;4
798792289.txt,0;3
741980818.txt,9
772258641.txt,9
795892485.txt,9
781781143.txt,4
749543178.txt,8
770689086.txt,3
792166256.txt,3;4
796974281.txt,3;7
759204936.txt,0;1
736158512.txt,3
759869703.txt,9
776688878.txt,1
800052123.txt,3
760113868.txt,3;4
769589728.txt,3;8
746314857.txt,4
784369502.txt,3
809475704.txt,3;4
801388540.txt,3
784235526.txt,9
787562188.txt,2;3;4;5
792632566.txt,9
781876605.txt,9
792216784.txt,9
793239466.txt,9
768081446.txt,5;8
793225098.txt,9
805827455.txt,3;4
785970350.txt,9
800401410.txt,9
788212310.txt,9
763815273.txt,3;4
772780454.txt,3
774592414.txt,9
733240062.txt,3
788431960.txt,3
735259867.txt,3
773800599.txt,0
778181004.txt,9
807901570.txt,1;3
749513878.txt,3
774873895.txt,3
804590207.txt,9
794268713.txt,9
758068161.txt,9
807385840.txt,9
803558802.txt,7
758249473.txt,9
787548561.txt,2
788484936.txt,3
760931709.txt,9
793531302.txt,9
785283019.txt,3
801416124.txt,9
793802209.txt,9
791431427.txt,9
766313382.txt,9
769712411.txt,0;4
790215420.txt,9
794489199.txt,1;3;4
807079539.txt,3
787608088.txt,9
789315972.txt,3;5
768707655.txt,3
791726326.txt,3
781333163.txt,9
757619790.txt,3
750648578.txt,3
751922907.txt,3
789476720.txt,3;6;7
763599638.txt,9
799731087.txt,9
791857105.txt,8
773527025.txt,9
737358691.txt,4
760082024.txt,9
740068272.txt,9
807064593.txt,3
802884216.txt,3
800380030.txt,9
735631685.txt,9
750140586.txt,9
762028273.txt,9
743227477.txt,9
772764139.txt,9
781500650.txt,9
792003519.txt,1;4
806160581.txt,3
780115142.txt,3
785909246.txt,3
796147109.txt,4
760890459.txt,0;3
772759694.txt,3
738280330.txt,3
766412201.txt,4
767095071.txt,9
758777801.txt,0;3
779200328.txt,9
747978493.txt,0;3;4
792926522.txt,9
785505430.txt,9
806158829.txt,9
779994158.txt,2;4
773069141.txt,9
783677838.txt,3
767800789.txt,8
771625190.txt,3
807902862.txt,9
747363267.txt,9
737173295.txt,9
809377198.txt,9
782642610.txt,3
801494322.txt,3
799553900.txt,9
750636852.txt,9
759831746.txt,3;4
781689226.txt,9
809552142.txt,9
778039571.txt,9
801865545.txt,9
759147290.txt,9
769712211.txt,2;3
791634456.txt,9
786602259.txt,9
733948028.txt,9
805062955.txt,3
778829097.txt,4
755069496.txt,9
755625148.txt,9
797049805.txt,4
802823450.txt,1;3
752734021.txt,9
786595594.txt,9
808856066.txt,3;4
776314273.txt,4
771056705.txt,2;3
776634383.txt,4
771306613.txt,3
799971248.txt,7;8
804889276.txt,3
747522871.txt,3
765473410.txt,9
750291426.txt,1;3
801707059.txt,3
789871032.txt,3
777342903.txt,0;6;7;8
744384177.txt,9
807673683.txt,3
794116929.txt,3
740685781.txt,2;4;5;7
733851824.txt,1;3
762876755.txt,1;3;4
765433633.txt,8
799230216.txt,9
781798455.txt,3
798253315.txt,9
772783550.txt,1
787215185.txt,0;3;4;7
774112571.txt,9
744400818.txt,9
810001709.txt,4
793739667.txt,9
760445543.txt,1;4
757597686.txt,9
807035511.txt,9
783691154.txt,3;4
738562450.txt,9
743104347.txt,9
783902696.txt,3;4
752782174.txt,9
740918130.txt,7
764486348.txt,3;4
746101754.txt,9
792511495.txt,5
763571798.txt,9
798791935.txt,5
804589575.txt,9
805820047.txt,3
807669800.txt,9
765120685.txt,3
751582927.txt,9
788261257.txt,9
758403701.txt,3;5
800089506.txt,4
774399328.txt,9
739891682.txt,9
787500897.txt,3
800762475.txt,7;8
774500395.txt,8
774369346.txt,3
792004130.txt,9
775546566.txt,9
741970403.txt,9
795077196.txt,4
793255968.txt,3
751324575.txt,1;3
803323215.txt,9
771959892.txt,3
797093904.txt,9
807532339.txt,9
764091834.txt,1;4
754222123.txt,9
752114943.txt,9
777214028.txt,3
770229468.txt,3
808238976.txt,9
809684951.txt,9
758340498.txt,3
798751532.txt,9
787738972.txt,3
739367700.txt,9
749876286.txt,1;4
769300577.txt,2;3;6
763409960.txt,9
804471433.txt,9
797954952.txt,9
770248877.txt,3;5
737173854.txt,9
742931652.txt,7
766015209.txt,7;8
794922400.txt,4
810074621.txt,9
781881492.txt,9
809165465.txt,5
807051536.txt,9
787996466.txt,9
764129772.txt,8
786273893.txt,3;4
796204726.txt,9
773357630.txt,9
805863178.txt,9
738260152.txt,3
747862577.txt,3
808153162.txt,9
787330116.txt,3
744611374.txt,9
779069700.txt,9
756355936.txt,3
793669647.txt,4
785522332.txt,9
783237007.txt,3
793119702.txt,9
792003498.txt,3;6;7
809712312.txt,9
778121280.txt,3;5
776713710.txt,0;3;4;5
799553114.txt,1;3;4;5
767835403.txt,3
791686895.txt,3
765536477.txt,3
779509674.txt,9
789928078.txt,3
788729330.txt,9
772061840.txt,9
778438541.txt,3
769521976.txt,3;4
751911635.txt,3
769432665.txt,9
810227106.txt,3
738987380.txt,9
768204299.txt,9
804821574.txt,3
744349600.txt,0;3;4
810294441.txt,9
769974520.txt,3;4;5
796839039.txt,9
756897795.txt,9
747147878.txt,9
798808985.txt,1;4
785451621.txt,9
761015424.txt,0;3
791234143.txt,3
786296105.txt,9
741976364.txt,3
807005672.txt,8
763864147.txt,3;4
764435083.txt,3
757773518.txt,9
766044747.txt,2;3;5
760129816.txt,9
789432866.txt,3;4
800070076.txt,4
774986043.txt,9
808625803.txt,9
751824672.txt,9
793456279.txt,3
794393497.txt,3
789928906.txt,9
761129724.txt,3
803244439.txt,3
800482201.txt,7
767394024.txt,3
774405462.txt,8
801143420.txt,3
775224051.txt,3
751804158.txt,9
770298011.txt,3
807678947.txt,3
797942993.txt,9
784212866.txt,9
804234583.txt,9
757570323.txt,3
742111788.txt,9
790171835.txt,3
787538370.txt,3
777138657.txt,3
760819372.txt,9
793755911.txt,9
737304386.txt,9
781845103.txt,9
805392451.txt,3
755319823.txt,3
808758190.txt,3
804883851.txt,3
781146880.txt,3
778447218.txt,9
798783370.txt,9
803309138.txt,9
735380774.txt,9
807226405.txt,3;4
746102945.txt,6
765161898.txt,1;3
807523901.txt,3
736156397.txt,9
792102137.txt,3
748470134.txt,9
807506997.txt,3
808490194.txt,9
759209648.txt,6;7
800769552.txt,9
778099816.txt,3
786295230.txt,3
808659270.txt,1
740188110.txt,0;3;4;6;7
801700381.txt,3
757572860.txt,9
779539029.txt,1
776747492.txt,3
763641282.txt,9
738765679.txt,9
791427599.txt,9
789032840.txt,9
803330382.txt,9
802855793.txt,9
808263523.txt,9
770756573.txt,3
745617857.txt,5;7
801659194.txt,8
802606856.txt,3;4
758359142.txt,3
769742101.txt,3;8
798541061.txt,9
768656513.txt,9
755308332.txt,9
758470760.txt,9
802370908.txt,9
778178745.txt,3
792650830.txt,4
754328321.txt,9
807970290.txt,3
774710173.txt,9
784843635.txt,3
760506408.txt,1
748985499.txt,9
803872592.txt,9
786647372.txt,2;3
795211204.txt,9
783422373.txt,9
784448131.txt,3
802951923.txt,9
779318517.txt,3
766415536.txt,3;4
799227852.txt,9
780552703.txt,9
799734549.txt,9
796984016.txt,3
739651799.txt,9
778872157.txt,9
746331861.txt,3
761655910.txt,3
803181476.txt,9
773640467.txt,9
807743058.txt,9
779663540.txt,9
765147676.txt,9
734538232.txt,5;6
783248092.txt,9
748265962.txt,4
809798905.txt,3
788814311.txt,9
760468691.txt,3
809041556.txt,3
764820740.txt,9
801436337.txt,3
779192697.txt,9
767582012.txt,0;2;3
773723089.txt,0;3
770748344.txt,3;5
768219808.txt,3;4
786902220.txt,9
787190201.txt,9
804998892.txt,3
743873903.txt,9
803464949.txt,9
806773886.txt,9
799225934.txt,5
781230154.txt,3
769599375.txt,3
777066910.txt,9
802840385.txt,3
740380116.txt,3;4
795908231.txt,9
741691853.txt,7
804884459.txt,3;4
792925847.txt,5
732757258.txt,1;3
801003583.txt,9
780116161.txt,9
760124280.txt,9
740685930.txt,7
774074702.txt,8
795166220.txt,9
800131585.txt,9
808531150.txt,3
803454109.txt,2
757283370.txt,3;4
759868911.txt,9
804638999.txt,9
736116422.txt,9
778418311.txt,3
801515066.txt,9
743248373.txt,9
807251242.txt,3
770986792.txt,1;3;5
807040283.txt,9
773067093.txt,9
763831941.txt,3
796571835.txt,9
770306608.txt,9
742778018.txt,9
804252145.txt,9
788561062.txt,9
794925500.txt,9
761860146.txt,7
759526177.txt,4;5
767644767.txt,9
779802577.txt,9
773164564.txt,9
784505432.txt,9
776962837.txt,9
749715408.txt,9
760454967.txt,3
792555252.txt,3
745252932.txt,9
761820198.txt,3
744647577.txt,0;1;3;4
801283510.txt,9
797092913.txt,3;4
761865639.txt,9
781629351.txt,3
785501812.txt,3
763627683.txt,3
808651431.txt,0
738706857.txt,3
796908411.txt,3
760047867.txt,3
774721198.txt,9
810337245.txt,8
802377302.txt,9
746497426.txt,9
747582464.txt,9
757204191.txt,1;4
799447283.txt,9
749952364.txt,4
776572705.txt,3
783096752.txt,9
747006626.txt,3
771913272.txt,3
750465591.txt,9
799067617.txt,3
806070526.txt,9
779378379.txt,9
775658821.txt,9
749789178.txt,3
779846685.txt,9
791245761.txt,3
788602812.txt,3;4
741680839.txt,9
793370558.txt,3
769905061.txt,3
784561202.txt,3
761327218.txt,9
786949731.txt,3
773970082.txt,9
758157796.txt,9
762506551.txt,9
750955678.txt,3
748893501.txt,3
744644768.txt,0;2;3
745043798.txt,9
777168801.txt,9
785510372.txt,3
766153640.txt,9
760001061.txt,3
762374559.txt,3
779535722.txt,8
760853159.txt,3;4;5;7
774722554.txt,9
790644075.txt,3
786892096.txt,9
779726042.txt,9
772979577.txt,5
781592320.txt,9
807379804.txt,9
776481365.txt,0;5
793263634.txt,3
771584709.txt,3
777514080.txt,9
768946607.txt,4
779536982.txt,9
780700935.txt,8
785510207.txt,9
772294359.txt,7
773048821.txt,5
763153128.txt,9
775547855.txt,3
757625736.txt,3
791373499.txt,4
785136790.txt,3;4
803301641.txt,3
762087085.txt,3
779847528.txt,3
765120302.txt,9
789913681.txt,9
796521731.txt,2;6
731417863.txt,9
774983227.txt,9
789410098.txt,9
741720584.txt,9
761069949.txt,9
762505649.txt,9
796143815.txt,9
797587751.txt,9
772000150.txt,9
809885875.txt,4
778121927.txt,3
739315761.txt,0;3;4;5
800152521.txt,9
759796082.txt,9
765274498.txt,0;1;3
806433703.txt,1;4;6;7
767661382.txt,9
781149887.txt,9
783114447.txt,9
771955131.txt,9
792009800.txt,9
790084385.txt,9
754915550.txt,9
756064345.txt,0;3
809123374.txt,0;3;4;5
805683879.txt,8
759858241.txt,3
751653107.txt,9
810111879.txt,0;3;4
786316542.txt,0;1;3;4
765569057.txt,9
738886233.txt,3
801289894.txt,9
786070871.txt,3;4
805587668.txt,1;3;4
752542044.txt,3
792231936.txt,9
768413276.txt,9
756639422.txt,0;4
776431891.txt,1
768217505.txt,3;4;6
761144411.txt,9
763150553.txt,3;7
777139297.txt,9
776220133.txt,3
808181166.txt,9
779460108.txt,9
803465373.txt,9
747025895.txt,7
752442683.txt,9
760451275.txt,3
807889931.txt,8
743877725.txt,0;3;4
784180725.txt,9
760700294.txt,3
772916349.txt,9
745731193.txt,9
766152229.txt,3;6
809435325.txt,1
773227876.txt,3
755308364.txt,9
768511885.txt,3
804783039.txt,3
807820195.txt,9
787631009.txt,9
763130703.txt,9
785486102.txt,9
786193243.txt,9
807305276.txt,3
799959442.txt,9
799956765.txt,9
759061257.txt,3
785520262.txt,9
793808078.txt,9
802574383.txt,9
754712195.txt,9
766415237.txt,5
743322875.txt,3;4
788860192.txt,9
751211512.txt,3;4
791253541.txt,9
767490455.txt,9
773340017.txt,9
801415744.txt,9
758383166.txt,9
799543713.txt,9
752658294.txt,9
804204838.txt,9
740388053.txt,9
786601563.txt,9
766696203.txt,9
784746044.txt,9
775343281.txt,9
736043112.txt,9
803388522.txt,9
760063029.txt,9
803792772.txt,9
791697939.txt,9
785193669.txt,9
790140308.txt,9
751205637.txt,9
801400014.txt,9
753614411.txt,9
798755234.txt,9
801287693.txt,9
791861256.txt,9
790846265.txt,9
804887107.txt,9
792952468.txt,9
793521332.txt,9
784842176.txt,9
810379782.txt,9
784994478.txt,9
743438102.txt,9
774555390.txt,9
756797935.txt,9
804394746.txt,9
806325284.txt,9
765559162.txt,9
800111571.txt,9
785202047.txt,9
753612272.txt,9
757146164.txt,9
785081453.txt,9
779037737.txt,9
795113388.txt,9
791447032.txt,9
806176049.txt,9
762303695.txt,9
740093223.txt,9
758027057.txt,9
747451695.txt,9
767748242.txt,9
806436329.txt,9
792723472.txt,9
797956028.txt,9
803413415.txt,9
801344152.txt,9
742100637.txt,9
796251849.txt,9
740092672.txt,9
801962155.txt,9
752477817.txt,9
733729248.txt,9
779834815.txt,9
785133865.txt,9
784985110.txt,9
804236625.txt,9
801492264.txt,9
806439120.txt,9
801391906.txt,9
760905406.txt,9
809059072.txt,9
788557051.txt,9
756098193.txt,9
806381191.txt,9
802355838.txt,9
762829622.txt,9
795211542.txt,9
778346945.txt,9
777868351.txt,9
752351379.txt,9
777496410.txt,9
755980427.txt,9
788513188.txt,9
807906329.txt,9
749138082.txt,9
771014191.txt,9
752139653.txt,9
748974293.txt,9
780780436.txt,9
773516269.txt,9
776084322.txt,9
801017676.txt,9
805852909.txt,9
782346559.txt,9
804851456.txt,9
770029528.txt,9
802653298.txt,9
751462085.txt,9
806823134.txt,9
764820574.txt,9
803560262.txt,9
740191454.txt,9
802323995.txt,9
802761004.txt,9
767214153.txt,9
789846412.txt,9
768177753.txt,9
793527719.txt,9
774985176.txt,9
778868061.txt,9
795018916.txt,9
791999165.txt,9
775436959.txt,9
788580137.txt,9
773690676.txt,9
806435938.txt,9
756795978.txt,9
771942593.txt,9
790155166.txt,9
787023167.txt,9
777848669.txt,9
767587210.txt,9
771378619.txt,9
786537378.txt,9
806009631.txt,9
797757813.txt,9
801706503.txt,9
802317424.txt,9
807398087.txt,9
755993525.txt,9
804871404.txt,9
776337991.txt,9
735151429.txt,9
734524196.txt,9
771644051.txt,9
779188036.txt,9
781887660.txt,9
804571729.txt,9
795311167.txt,9
746999247.txt,9
766812389.txt,9
747110644.txt,9
790467728.txt,9
751299500.txt,9
795219277.txt,9
802530176.txt,9
801963420.txt,9
779787809.txt,9
744335924.txt,9
763152646.txt,9
765227689.txt,9
786824812.txt,9
808021956.txt,9
753866556.txt,9
793613971.txt,9
781482972.txt,9
793541241.txt,9
780415076.txt,9
802583742.txt,9
779852355.txt,9
770707284.txt,9
802297357.txt,9
796164176.txt,9
794452738.txt,9
762218752.txt,9
793806790.txt,9
743420903.txt,9
760120383.txt,9
808911168.txt,9
773798343.txt,9
781885649.txt,9
805902659.txt,9
783330887.txt,9
754048317.txt,9
796167723.txt,9
769426392.txt,9
795085963.txt,9
758430172.txt,9
775562053.txt,9
768679936.txt,9
761711159.txt,9
790405380.txt,9
785529386.txt,9
794922682.txt,9
794555524.txt,9
801572799.txt,9
802295190.txt,9
750966202.txt,9
756915176.txt,9
809154461.txt,9
794094103.txt,9
801937159.txt,9
789297224.txt,9
756867815.txt,9
781752397.txt,9
741818398.txt,9
737696709.txt,9
799720211.txt,9
791304558.txt,9
783107212.txt,9
807845046.txt,9
738003695.txt,9
809755280.txt,9
797023367.txt,9
793420191.txt,9
804615699.txt,9
787186825.txt,9
740997595.txt,9
785280505.txt,9
760888789.txt,9
795465184.txt,9
802873328.txt,9
780293198.txt,9
795920520.txt,9
764717378.txt,9
795372477.txt,9
801110991.txt,9
798576529.txt,9
801334055.txt,9
801351815.txt,9
765672226.txt,9
752552108.txt,9
803224567.txt,9
739891880.txt,9
785501279.txt,9
749879426.txt,9
742667198.txt,9
798193434.txt,9
773803686.txt,9
750608997.txt,9
791617267.txt,9
778158832.txt,9
773132033.txt,9
799773100.txt,9
742330961.txt,9
755313418.txt,9
756914787.txt,9
772377749.txt,9
795456827.txt,9
778709239.txt,9
752204880.txt,9
766815640.txt,9
798922496.txt,9
792811588.txt,9
796503780.txt,9
801940539.txt,9
773056979.txt,9
782182108.txt,9
809194709.txt,9
733881412.txt,9
741484514.txt,9
809510239.txt,9
793492518.txt,9
795299759.txt,9
756847860.txt,9
797876247.txt,9
809278889.txt,9
744197237.txt,9
799553653.txt,9
809189147.txt,3
772908225.txt,7
803138502.txt,3
805195485.txt,3
787641859.txt,0;3;4;6;7
771374130.txt,3;8
790478271.txt,9
741740534.txt,7
761027621.txt,1;4
807910927.txt,1;3;8
777775632.txt,0;3;4
805948662.txt,7;8
767138459.txt,7
764700236.txt,4;7
801401095.txt,9
748877670.txt,3
806152845.txt,3
798568509.txt,9
752057274.txt,9
763899915.txt,9
782550089.txt,0;1;3;4;6;7
799460889.txt,9
770999810.txt,4
774283748.txt,3
789518989.txt,9
790066651.txt,7;8
799239619.txt,7
748634828.txt,7
750168001.txt,9
783682515.txt,3
798573266.txt,3
760879967.txt,3;4
805203707.txt,8
786619464.txt,9
759214451.txt,3
804495825.txt,3;4
757188635.txt,9
807763656.txt,9
765801420.txt,9
758574639.txt,9
793418603.txt,9
796246852.txt,9
779536409.txt,9
809056050.txt,9
777218573.txt,3
756353215.txt,7
769896514.txt,3;6
773213066.txt,7
787977471.txt,3;4;7
750373115.txt,9
783431228.txt,7
799134783.txt,7
808379294.txt,3
762409492.txt,7
766775572.txt,3
748892174.txt,3
743307632.txt,2
782167061.txt,7
754327406.txt,9
790133379.txt,9
775707722.txt,9
792235081.txt,7
752546059.txt,3
741427560.txt,7
783109297.txt,7
747591789.txt,3
781318598.txt,9
780418399.txt,4
734763697.txt,7
751522688.txt,4
745920986.txt,3
799979674.txt,9
751641418.txt,3
756915540.txt,9
771853117.txt,3
778163438.txt,9
783561452.txt,9
805421003.txt,3
784555037.txt,9
769339780.txt,8
777408826.txt,9
786944309.txt,3
771089919.txt,4
760932083.txt,9
807820462.txt,3
802374188.txt,3
783077373.txt,1;4
804913117.txt,0
782650443.txt,1;3
763631986.txt,3
749256679.txt,9
744982428.txt,9
748710876.txt,3;4;7
769897871.txt,3;4
761103269.txt,3;4
758863355.txt,9
735247559.txt,9
788667460.txt,3
804764146.txt,0;2;3;4
746046134.txt,0
790465456.txt,4;5
760124688.txt,9
807510065.txt,3;7
800125729.txt,3
774316535.txt,7;8
805524961.txt,7
780014195.txt,9
794244646.txt,1
802254049.txt,7
802264439.txt,5
771507526.txt,9
742320267.txt,6
810364947.txt,0
804205017.txt,3
791675663.txt,9
760123245.txt,3
761004289.txt,9
753251651.txt,0;8
770018122.txt,3
768620731.txt,4
787054932.txt,9
783400646.txt,9
795961680.txt,0;3;4;5;7
798748807.txt,9
751063629.txt,1
772630861.txt,9
